ID,Priority,Area,Requested/Found Issue,v6.1 Status,Implementation / Evidence,Residual
BETA1-001,P0,Workflow,Disable all scientific/configuration panels while policy training runs,RESOLVED,"AppState training signal + MainWindow global page/action lock; Dashboard read-only; Safe Stop via global status; close requests Safe Stop",Full physical PyQt GUI suite requires target environment
BETA1-002,P0,State safety,Prevent hardware/config mutation during training,RESOLVED,"Compute topology refresh blocked; Open/Save mutable config actions disabled; workflow locked",None known in implemented GUI path
BETA2-001,P0,Training architecture,Separate total scientific branch count from simultaneous concurrency,RESOLVED,"parallel_runs vs parallel_concurrency; TrainingResourcePlan; GUI fields separated",None
BETA2-002,P0,Queue scheduler,Queue excess branches instead of forcing all branches simultaneous,RESOLVED,"Protected fixed/cumulative waves; indefinite exact-resume rotation",Persistent paused-worker optimization remains future performance work
BETA2-003,P0,Indefinite fairness,Queued branches must not starve in infinite training,RESOLVED,"10-epoch exact-resume lease rotation; 2-branch/1-slot regression reaches common >=10 epoch Safe Stop",Process/context restart overhead remains
BETA2-004,P0,Safe Stop,Queued branches must participate in coherent exact safe state,RESOLVED,"Never-started branches initialized under cancellation; started queued branches retain authenticated exact state",None known
BETA3-001,P0,CPU protection,Do not multiply full CPU worker recommendation by every branch,RESOLVED,"One global Safe-80 CPU budget; 2 support equivalents + >=1 rollout worker per active branch; remainder partitioned",Worker-equivalent budget is not a physical watt cap
BETA3-002,P0,CPU protection,Dashboard and scheduler CPU capacity must use same minimum budget,RESOLVED POST-AUDIT,"Shared 3-equivalent minimum model; dedicated regression on 4-logical-thread topology",None
BETA3-003,P0,Scheduling,Remove uncontrolled accelerator-to-CPU branch fallback,RESOLVED,"Accelerator pressure/missing selected device fails closed or queues via lower concurrency; CPU only explicit/protected",CPU-only topology remains deliberately supported
BETA3-004,P1,Threading,Prevent native BLAS/OpenMP/PyTorch thread multiplication inside branches,RESOLVED,"OMP/MKL/OpenBLAS/NumExpr/PyTorch thread caps; optional threadpoolctl runtime limit",Third-party native libraries outside these controls may have independent threads
BETA4-001,P0,XPU,Do not count XPU sidecar as independent full branch,RESOLVED,"sidecar full_training_branch=false; actor/evaluator auxiliary only",Full sidecar branch certification remains false
BETA4-002,P0,XPU,Capability-aware direct XPU scheduling,RESOLVED,"Direct runtime + deterministic FP64 smoke required for full branch role",Physical long-soak/parity still required for final qualification
BETA4-003,P1,Resource placement,Do not use aggregate slot count to select a busy wrong accelerator,RESOLVED POST-AUDIT,"Per-device Safe-80 headroom check; busy CUDA / healthy XPU regression",Estimated memory working set remains conservative
BETA4-004,P1,Heterogeneous lanes,Unavailable accelerator lane must not silently redistribute to CPU,RESOLVED,"strict_resource_binding; missing XPU share may move to admitted CUDA primary, not hidden CPU",Sidecar/direct runtime performance requires physical validation
AUDIT-001,P1,Release identity,Bootstrap fallback still referenced old v6.0 alpha version,RESOLVED POST-AUDIT,"Fallback APP_VERSION updated to 6.1.0",None
AUDIT-002,P1,Release metadata,Duplicate accelerator-to-CPU spillover scope key,RESOLVED POST-AUDIT,"Duplicate removed from freeze scope",None
BOUNDARY-001,P1,Thermal safety,Continuous temperature/power Green-Amber-Red governor,OPEN BY DESIGN,"Not claimed in v6.1 beta",Later v6 RC
BOUNDARY-002,P1,Hardware validation,Physical CUDA/XPU/laptop thermal soak,OPEN ENVIRONMENT GATE,"No physical accelerators available in build runtime",Run on target laptop before final release
BOUNDARY-003,P1,GUI validation,Full PyQt6 interaction suite,OPEN ENVIRONMENT GATE,"PyQt6 unavailable; structural tests only",Run on target GUI environment
BOUNDARY-004,P1,Scientific validation,Complete PYPOWER target suite,OPEN ENVIRONMENT GATE,"PYPOWER unavailable; dependency-light scientific regressions passed",Run before publication freeze
