finding_id,severity,status,resolution,evidence
F-001,CRITICAL,Closed,"Exact fractional-tail weighted CVaR implemented for NumPy, Torch, and device-resident paths; unequal-weight edge-case tests added.",tests/scientific/test_v34_scientific_integrity.py
F-002,CRITICAL,Closed,Versioned IEEE case-specific shunt controls preserve fixed reactors/capacitors and export absolute/delta semantics.,calo_rpd_studio/orpd/variable_decoder.py
F-003,HIGH,Closed,"Every supported case exports checksum, dimension, controls, bounds, steps, initial values, and fixed-device treatment in a formulation manifest.",calo_rpd_studio/orpd/variable_decoder.py; benchmarking/campaign.py
F-004,CRITICAL,Closed,Persistent XPU progress callback now reads iteration from payload; bounded dictionary-frame protocol and multi-frame tests added.,calo_rpd_studio/compute/persistent_accelerator_sidecar.py; tests/unit/test_v34_worker_protocol.py
F-005,CRITICAL,Closed,"Publication objective statistics require independently verified, feasible, finite runs; feasibility and violation summaries are separate.",calo_rpd_studio/results/publication_export.py
F-006,HIGH,Closed,Article package aborts on incomplete validation and all publication narrative/tables/figures use verified-only data.,calo_rpd_studio/benchmarking/package.py; visualization/publication_evidence.py
F-007,HIGH,Closed,Campaigns preserve exactly requested 30/31/35/50 repetitions through CUSTOM portfolio synchronization; regression tests added.,calo_rpd_studio/benchmarking/campaign.py; tests/unit/test_v34_release_blockers.py
F-008,HIGH,Closed,"Independent PYPOWER validation starts from the original controlled case with its own Q-limit enforcement and compares final bus types, Q, voltage, angle, and losses.",calo_rpd_studio/power_system/independent_validator.py
F-009,HIGH,Closed,"Scenario mode/count/parameters/topology are centrally validated; empty sets are rejected and scenario seeds, weights, transformed-case checksums, and manifest hash are persisted.",calo_rpd_studio/experiments/experiment_config.py; robustness/scenario_generator.py
F-010,HIGH,Closed,Mandatory-dependency headless suite passes 176 tests; GUI workflow tests are synchronized; CI covers Python 3.11-3.13 on Linux and Windows.,tests/; .github/workflows/ci.yml
F-011,HIGH,Closed,Case validation is mandatory for repository/CLI construction and active zero-impedance branches are rejected instead of electrically deleted.,calo_rpd_studio/power_system/case_validation.py; case_loader.py; ybus.py
F-012,HIGH,Closed for release regression,"All 20 optimizers have frozen seeded short-run snapshots, exact budget checks, normalized-bound checks, and deterministic release regression tests. Independent literature-equation re-derivation remains a continuing scientific review activity.",tests/data/v34_optimizer_seed_snapshots.json; tests/unit/test_v34_release_blockers.py
F-013,HIGH,Closed for compact release matrix,"Scientific regressions cover all four case profiles/base flows, mixed-vector CPU/Torch parity on case30/57, fixed case118 reactors, robust scenarios, exact CVaR, zero impedance, and independent PYPOWER checks. Physical CUDA/XPU parity remains target-hardware validation.",tests/scientific/test_v34_scientific_integrity.py
F-014,MEDIUM,Closed at staged gate,Application-only line coverage increased from 37% to 62%; CI enforces fail-under=60. High-risk publication exporter is 98% covered; next target remains 75%+ and deeper publication-evidence branches.,.github/workflows/ci.yml; RELEASE_VALIDATION.md
F-015,MEDIUM,Closed,"Bootstrap reads installed distribution version with a 3.4.0 fallback, so version-transition prerequisite checks are not stale.",calo_bootstrap/prerequisites.py
F-016,MEDIUM,Closed,Release/freeze identity centralized at 3.4.0/calo_v34_freeze and campaign/GUI/CLI output paths updated.,calo_rpd_studio/version.py; benchmarking/campaign.py
F-017,MEDIUM,Closed,Stale generated publication artifacts removed; source tree contains only a runtime-generation README and no pre-populated claims.,publication_export/README.md
F-018,MEDIUM,Closed,Developer absolute paths sanitized; zero-data historical snapshots explicitly marked disabled/not applied.,historical_experience_v1.3.json; data/frozen/historical_training_snapshot_v2.json
F-019,MEDIUM,Mitigated,Model-only checkpoints use weights_only=True and optional hashes; resumable full-state loads require SHA-256 sidecars; local worker frames are bounded/schema-checked and documented trusted-same-host. Pickle remains only inside the local child-process trust boundary.,calo_rpd_studio/ai/model_io.py; compute/persistent_*
F-020,MEDIUM,Closed at reproducible CPU gate,"Exact CPU audit pins and Linux/Windows Python 3.11-3.13 CI added with compile, Ruff, tests, 60% coverage gate, and build. Hardware-specific Torch wheels remain bootstrap-selected by detected runtime.",requirements-lock-cpu.txt; .github/workflows/ci.yml
F-021,MEDIUM,Accepted architecture debt,"Runtime blockers were isolated and tested, but large orchestration modules remain candidates for a later planner/scheduler/executor decomposition; this does not block v3.4 numerical correctness.",app/experiment_manager.py; algorithms/calo/heterogeneous_training.py
F-022,MEDIUM,Closed,Repository-wide Ruff check and compileall pass and are mandatory CI gates.,.github/workflows/ci.yml
F-023,MEDIUM,Closed,"Font availability is preflighted, explicit fallback is used without bundling proprietary files, and resolved font metadata is saved.",calo_rpd_studio/visualization/font_preflight.py; plot_manager.py
F-024,LOW,Mitigated,"The supplied archive had no Git history, which cannot be reconstructed. v3.4 records the source-archive SHA-256, freeze hash, repository file manifest, build hashes, and explicitly marks commit/tag unavailable.",RELEASE_METADATA.json; MANIFEST.sha256
