ID,Area,Prior risk,Resolution in v4.0.0,Status,Validation
V4-01,Personal learner memory,"pbest could be reset after environmental selection, weakening persistent learning","Added CALOTensorState lineage-aware persistent pbest selection/inheritance",CLOSED,"unit regression: persistent pbest survives selection"
V4-02,HPEM,"Single/global-best learning encouraged premature convergence and duplicate elite storage","Added one canonical [7,D] HPEM with Best-1/3/5/7 [4,D] summaries",CLOSED,"HPEM shape/storage regression tests"
V4-03,Mixed-variable elite diversity,"Normalized distances could treat equivalent discrete decoded states as different","HPEM maps discrete variables to decoded lattice indices for duplicate/diversity decisions",CLOSED,"discrete lattice duplicate regression test"
V4-04,Operator credit,"Global per-candidate credit had weak context and update-order bias","Added batched per-individual-regime contextual [R,O,C] operator credit and [R,M,C] memory credit",CLOSED,"order-invariance and regime-attribution tests"
V4-05,Success memory,"Flat or non-finite reward memory could contaminate sampling","Added bounded [O,H,D] context-aware finite success-direction memory",CLOSED,"NaN/Inf robustness tests"
V4-06,Recovery,"recovery_fraction was predicted but did not materially control search","Uses bounded weak-learner recovery proposals under stagnation/diversity collapse",CLOSED,"runtime metadata and targeted unit coverage"
V4-07,Epsilon feasibility control,"Predetermined schedule could tighten or relax at inappropriate times","Added behavior-driven controller using feasibility/progress/stagnation signals",CLOSED,"deterministic unit/scientific suite"
V4-08,Variable intelligence,"Voltage/tap/shunt controls could receive undifferentiated search effort","Added regime-aware [R,G,K] group productivity learning",CLOSED,"group tensor shape and optimizer regression suite"
V4-09,Self-learning run,"A literal blind run plus full rerun would double FE and violate fairness","Implemented discovery/learning dual lanes inside one shared FE budget",CLOSED,"single-budget reproducibility test"
V4-10,Precision convergence,"Late search lacked a coherent counted precision mechanism","Added HPEM/success-direction/group-aware adaptive-radius precision proposals inside the main batch",CLOSED,"all proposals counted; no hidden solver/optimizer"
V4-11,Cross-run leakage,"Historical learning could contaminate strict primary comparisons","Strict benchmark mode rejects historical priors/warm starts; explicit transfer mode disables guard visibly",CLOSED,"strict benchmark regression test"
V4-12,Tensor/memory efficiency,"Uniform high-dimensional storage would duplicate state and increase memory","Hybrid 1D/2D/3D state, canonical memory, temporary [P,4,D] scratch, no persistent 4D CALO state",CLOSED,"architecture shape metadata + source audit"
V4-13,Exact evaluation reuse,"Duplicate decoded controls could waste physical power-flow work or distort FE accounting","Exact-only bounded cache/dedup reuses physical solve while counting every requested FE",CLOSED,"duplicate-request FE accounting regression test"
V4-14,GUI teardown,"Queued Matplotlib draw callback could print a deleted-canvas traceback during rapid Qt teardown","Pending draw callback cancelled on canvas destruction",CLOSED,"targeted offscreen Qt teardown tests"
V4-15,Adaptive active population reduction,"Potential efficiency mechanism not yet proven beneficial under equal-FE ORPD ablation","Intentionally not enabled by default; requires separate development ablation before adoption",DEFERRED_BY_DESIGN,"documented limitation"
V4-16,Universal superiority claim,"Architecture changes alone do not prove CALO best","Release explicitly requires frozen 30-50 paired feasible validated comparisons before superiority claims",OPEN_RESEARCH_GATE,"synthetic diagnostic shows CALO not universally best vs TLBO"
