ID,Area,Status,v6.2 Resolution / Evidence
RC1-001,Adaptive compute governor,RESOLVED,"Green/Amber/Red governor with hysteresis and Safe-80 resource/temperature/power checks implemented."
RC1-002,Staged startup,RESOLVED,"Competitive training and experiment admission use staged launch timing; branches/jobs are not intentionally burst-launched together."
RC1-003,Thermal telemetry,RESOLVED_WITH_HARDWARE_DEPENDENCY,"Actual CPU/accelerator temperature is used only when available; unavailable values are explicitly absent."
RC1-004,Power telemetry,RESOLVED_WITH_HARDWARE_DEPENDENCY,"NVIDIA power draw/limit telemetry is captured when nvidia-smi supports it; otherwise unavailable."
RC1-005,Protective Safe Stop,RESOLVED,"Confirmed RED requests protection stop; competitive training preserves prior authoritative generation if a new coherent branch generation cannot be safely formed."
RC1-006,Compute protection provenance,RESOLVED,"Durable hash-chained JSONL event provenance implemented."
RC2-001,Workspace schema migration,RESOLVED,"Schema 3 stable keys + layout ID; v5.9 positional and v6.0/v6.1 keyed payload migration."
RC2-002,Unknown workspace identity,RESOLVED,"Conservative Dashboard fallback; live workflow gates still enforced."
RC2-003,Unclean application recovery,RESOLVED,"Integrity-sealed session recovery journal added; UI recovery remains non-authoritative for optimizer state."
RC2-004,Experiment workspace restoration,RESOLVED,"Versioned UI migration integrated with existing exact config/PF/policy-binding restoration checks."
RC2-005,GUI validation,PARTIAL_TARGET_GATE,"Dependency-light GUI contract passes; real PyQt6 full GUI execution requires target environment where PyQt6 is installed."
FINAL-001,Hardware soak protocol,RESOLVED,"Protected soak runner/CLI with durable provenance and truthful physical_qualified gate implemented."
FINAL-002,Long-duration physical CUDA soak,PENDING_TARGET_HARDWARE,"Not executable honestly in CPU-only build environment; protocol delivered for target machine."
FINAL-003,Long-duration physical XPU soak,PENDING_TARGET_HARDWARE,"Not executable honestly in build environment without physical Intel XPU runtime; protocol delivered."
FINAL-004,Scheduling scientific equivalence,RESOLVED_SOFTWARE_PROTOCOL,"Branch scientific identity and terminal-record equivalence utilities implemented; existing native policy transition parity regression retained."
FINAL-005,Physical CPU-CUDA-XPU equivalence,PENDING_TARGET_HARDWARE,"Must be executed with actual devices under exact formulation/parity tolerances."
AUDIT-001,Competitive config payload regression,RESOLVED,"Post-generation audit found commented-out config_dict assignment; corrected."
AUDIT-002,Closed process exitcode regression,RESOLVED,"Post-generation audit found exitcode access after process.close under Python 3.13; corrected and targeted tests passed."
