Finding,Severity,Status_v5_7,Resolution,Evidence,Residual_or_limitation
A-005,CRITICAL/HIGH,RESOLVED,Current root release evidence regenerated for v5.7 only; stale crash-safe overclaim removed; target-environment limitations stated explicitly.,RELEASE_METADATA.json; RELEASE_VALIDATION.md; docs/CALO_V57_SCIENTIFIC_AUDIT_CLOSURE.md,
A-008,HIGH,RESOLVED,Generated publication_export evidence removed from source release; source/evidence separation enforced by release hygiene test.,tests/unit/test_v57_audit_closure_integration.py,Historical externally generated evidence must remain outside source archives.
NEW-A-011,MEDIUM,RESOLVED,Release-facing benchmark defaults renamed from benchmark_v500/frozen-v5.0 to v5.7/v570 naming.,run_final_benchmark.py; GUI benchmark campaign panel; regression test,
C-014,MEDIUM,RESOLVED_FOR_SILENT_PASS_CLASS,Removed broad Exception/BaseException handlers whose only action was pass from scientific/checkpoint/provenance/device paths; failures are logged or propagated.,AST regression test in test_v57_audit_closure_integration.py,Some intentionally broad handlers remain when they perform explicit diagnostics/fallback logic.
D-009,MEDIUM,RESOLVED_BY_DESIGN,Automatic in-training formal qualification was retired instead of pretending it exists. Compatibility field is fixed to 0; formal qualification runs only on saved Base artifacts.,TrainingConfig; CALO Intelligence GUI; README; v5_disputes C08,No automatic periodic qualification job is claimed.
E-001,HIGH,RESOLVED,Mandatory independent power-flow revalidation added before grading.,calo_rpd_studio/algorithms/calo/policy_qualification.py; v5.7 tests,
E-002,HIGH,RESOLVED,Formal qualification default/promotion minimum raised to 30 paired runs; small screening is not promotion evidence.,calo_rpd_studio/algorithms/calo/policy_qualification.py; v5.7 tests,
E-003,HIGH,RESOLVED,Promotion aggregates case-wise paired summaries/effects instead of pooling raw objectives across cases.,calo_rpd_studio/algorithms/calo/policy_qualification.py; v5.7 tests,
E-004,HIGH,RESOLVED,Feasibility-first AUC includes pre-feasible delay.,calo_rpd_studio/algorithms/calo/policy_qualification.py; v5.7 tests,
E-005,HIGH,RESOLVED,AUC no longer falls back to infeasible/raw objective trajectories; never-feasible yields noncompetitive/infinite AUC.,calo_rpd_studio/algorithms/calo/policy_qualification.py; v5.7 tests,
E-006,MEDIUM/HIGH,RESOLVED,Finite-comparator edge guards prevent min(empty) grading failures.,calo_rpd_studio/algorithms/calo/policy_qualification.py; v5.7 tests,
E-007,MEDIUM/HIGH,RESOLVED,"Directional paired evidence, effect direction and Holm multiplicity correction gate strongest grades.",calo_rpd_studio/algorithms/calo/policy_qualification.py; v5.7 tests,
E-008,MEDIUM,ACCEPTED_ABI_COMPATIBILITY,v4.1 policy/runtime schema identifiers intentionally remain ABI identifiers independent of application version 5.7.0.,docs/API_COMPATIBILITY_V57.md; policy_schema.py,Renaming would be an ABI migration and is not required for this release.
F-001,HIGH SCIENTIFIC,RESOLVED,Robust feasibility defaults to maximum all-scenario constraint violation; expected-weighted aggregation requires explicit formulation selection.,robustness/robust_objectives.py; robustness/scenario.py; experiment_runner.py; optimizer.py; v5.7 tests,
F-002,HIGH,RESOLVED,Scenario weights are validated finite/nonnegative/positive-sum at the low-level robust scientific boundary.,robustness/robust_objectives.py; robustness/scenario.py; experiment_runner.py; optimizer.py; v5.7 tests,
F-003,HIGH/CRITICAL,RESOLVED,"Exact-resume callable fingerprint includes code identity, closure cells, defaults and keyword defaults.",robustness/robust_objectives.py; robustness/scenario.py; experiment_runner.py; optimizer.py; v5.7 tests,
F-004,MEDIUM/HIGH,RESOLVED,Scenario transforms undergo full case validation plus dimension/baseMVA/bus-number invariants.,robustness/robust_objectives.py; robustness/scenario.py; experiment_runner.py; optimizer.py; v5.7 tests,
F-005,MEDIUM,RESOLVED,"Scenario is frozen/immutable and validates name, weight and transform invariants at construction.",robustness/robust_objectives.py; robustness/scenario.py; experiment_runner.py; optimizer.py; v5.7 tests,
G-001,HIGH SCIENTIFIC,RESOLVED,Individual online generator PG is checked against each unit PMIN/PMAX rather than bus-aggregate capability.,orpd/constraints.py; orpd/objectives.py; voltage_stability.py; newton_raphson.py; base_optimizer.py; accelerated parity tests,
G-002,HIGH SCIENTIFIC,RESOLVED,Individual online generator QG is checked against each unit QMIN/QMAX for constraint accounting; PV/PQ switching remains a separate numerical mechanism.,orpd/constraints.py; orpd/objectives.py; voltage_stability.py; newton_raphson.py; base_optimizer.py; accelerated parity tests,
G-003,HIGH SCIENTIFIC,RESOLVED,Voltage-deviation objective uses the fixed pre-solve formulation PQ/load-bus partition.,orpd/constraints.py; orpd/objectives.py; voltage_stability.py; newton_raphson.py; base_optimizer.py; accelerated parity tests,
G-004,HIGH SCIENTIFIC,RESOLVED,"L-index uses a fixed declared formulation load/generator partition, not dynamically switched final bus types.",orpd/constraints.py; orpd/objectives.py; voltage_stability.py; newton_raphson.py; base_optimizer.py; accelerated parity tests,
G-005,HIGH PERFORMANCE,RESOLVED,CPU Newton Jacobian construction is vectorized and sparse solve is preferred with deterministic dense fallback.,orpd/constraints.py; orpd/objectives.py; voltage_stability.py; newton_raphson.py; base_optimizer.py; accelerated parity tests,
G-006,MEDIUM,RESOLVED,Monotone backtracking damping added to Newton updates for stressed-case robustness.,orpd/constraints.py; orpd/objectives.py; voltage_stability.py; newton_raphson.py; base_optimizer.py; accelerated parity tests,
G-007,MEDIUM,RESOLVED,Shared boundary clipping is an explicit repair policy with candidate/coordinate repair telemetry and rates.,orpd/constraints.py; orpd/objectives.py; voltage_stability.py; newton_raphson.py; base_optimizer.py; accelerated parity tests,
H-001,CRITICAL FAIRNESS,RESOLVED_BY_PROTOCOL,Strict equal-FE experiments reject non-population-divisible budgets so every optimizer receives the identical complete requested FE budget.,ExperimentConfig.validate; fairness_validator.py; CALO run guard; tests,Partial-tail execution is intentionally not mixed into the frozen strict comparison protocol.
H-002,HIGH PERFORMANCE,PARTIAL_DEFERRED_FOR_PARITY,The seeded CALO stochastic trajectory is intentionally preserved. Per-learner candidate/cognition logic remains partly Python/NumPy; a vectorized rewrite was rejected when it changed the frozen seeded trajectory.,v5_disputes P10; seeded release snapshot tests,Requires separately parity-qualified/device-native algorithm implementation; not a scientific correctness blocker for v5.7.
H-003,MEDIUM,MITIGATED,Adaptive exact-cache persistence disables low-yield cross-batch storage after a much smaller 64-request observation window; cache state/threshold are exposed in telemetry.,evaluation_cache.py; optimizer runtime metadata,Exact within-request decoded-control keying remains because it provides deterministic deduplication/accounting.
H-004,MEDIUM,RESOLVED_CURRENT_ARCHITECTURE,"Policy inference defaults to CPU for the current NumPy/host CALO control plane, eliminating pointless accelerator->host action synchronization; accelerator policy inference is explicit experimental behavior.",AIController/device scheduling; persistent workers,Full device-resident CALO control remains separate H-002/P10 performance work.
H-005,MEDIUM,RESOLVED,Cross-run policy broker is created only for actual multi-slot cross-run batching; single-run execution keeps a direct fast path.,persistent accelerator worker/sidecar; broker tests,
I-001,CRITICAL,RESOLVED,Verified-required export fails closed when zero verified evidence exists; no truthiness fallback to all rows.,portfolio/exporter.py; results/publication_export.py; results/comparison_engine.py; statistics/*; v5.7 tests,
I-002,CRITICAL/HIGH,RESOLVED,Publication plots/tables/statistics consistently use publication/verified rows only when validation is required.,portfolio/exporter.py; results/publication_export.py; results/comparison_engine.py; statistics/*; v5.7 tests,
I-003,HIGH,RESOLVED,Best-row selection returns no candidate when no feasible finite solution exists; best-solution artifacts fail explicitly.,portfolio/exporter.py; results/publication_export.py; results/comparison_engine.py; statistics/*; v5.7 tests,
I-004,HIGH,RESOLVED,Scenario feasibility heatmap requires converged PF plus finite total constraint violation within tolerance.,portfolio/exporter.py; results/publication_export.py; results/comparison_engine.py; statistics/*; v5.7 tests,
I-005,HIGH,RESOLVED,Scenario loss heatmap reads stored total_loss_mw.,portfolio/exporter.py; results/publication_export.py; results/comparison_engine.py; statistics/*; v5.7 tests,
I-006,HIGH,RESOLVED,publication_ready requires complete expected paired verified evidence and feasible evidence for every compared algorithm.,portfolio/exporter.py; results/publication_export.py; results/comparison_engine.py; statistics/*; v5.7 tests,
I-007,HIGH,RESOLVED,"Generic comparison summaries/rankings default to verified, feasible, finite objective evidence.",portfolio/exporter.py; results/publication_export.py; results/comparison_engine.py; statistics/*; v5.7 tests,
I-008,MEDIUM/HIGH,RESOLVED,"Composite feasibility-first merit statistics are explicitly labeled as composite merit, not raw-objective effect evidence.",portfolio/exporter.py; results/publication_export.py; results/comparison_engine.py; statistics/*; v5.7 tests,
I-009,MEDIUM,RESOLVED,Statistical helpers guard NaN/Inf/empty/all-identical/insufficient-pair inputs.,portfolio/exporter.py; results/publication_export.py; results/comparison_engine.py; statistics/*; v5.7 tests,
J-001,CRITICAL,RESOLVED,Same closure/code-aware scenario fingerprint correction as F-003.,experiment_workspace_restorer.py; workflow_manager.py; resume/service.py; docs/reproducibility.md; BaseOptimizer metadata,
J-002,HIGH,RESOLVED,Workspace restore resolves explicit highest scientific revision rather than database update-time ordering.,experiment_workspace_restorer.py; workflow_manager.py; resume/service.py; docs/reproducibility.md; BaseOptimizer metadata,
J-003,HIGH,RESOLVED,Base PF restoration uses exact saved PowerFlowOptions.,experiment_workspace_restorer.py; workflow_manager.py; resume/service.py; docs/reproducibility.md; BaseOptimizer metadata,
J-004,HIGH,RESOLVED,PF restoration failure blocks restoration/downstream unlock and retains diagnostic failure context.,experiment_workspace_restorer.py; workflow_manager.py; resume/service.py; docs/reproducibility.md; BaseOptimizer metadata,
J-005,HIGH,RESOLVED,Legacy/no-workspace restoration infers completion conservatively rather than assuming full setup.,experiment_workspace_restorer.py; workflow_manager.py; resume/service.py; docs/reproducibility.md; BaseOptimizer metadata,
J-006,MEDIUM,RESOLVED_BY_EXPLICIT_SEMANTICS,Exact CALO continuation and paired from-start recomputation have distinct execution/trajectory provenance and are horizon/revision scoped.,experiment_workspace_restorer.py; workflow_manager.py; resume/service.py; docs/reproducibility.md; BaseOptimizer metadata,Baseline algorithms without exact state remain recompute-from-seed only.
J-007,MEDIUM,RESOLVED,Durability helpers use temp write + flush/fsync + atomic replace and parent-directory durability where supported; wording no longer claims absolute crash-proof semantics.,experiment_workspace_restorer.py; workflow_manager.py; resume/service.py; docs/reproducibility.md; BaseOptimizer metadata,
J-008,MEDIUM,ACCEPTED_NON_SCIENTIFIC_TELEMETRY_SCOPE,Live UI-only transient telemetry is explicitly ephemeral and excluded from publication evidence; scientific reconstruction uses committed histories/checkpoints/results.,experiment_workspace_restorer.py; workflow_manager.py; resume/service.py; docs/reproducibility.md; BaseOptimizer metadata,A hard crash can still lose UI-only points after the last committed scientific state by design.
K-001,HIGH,RESOLVED,Workflow order is case/formulation -> algorithms -> CALO policy only when CALO selected -> scenarios/portfolio/experiment.,workflow_manager.py; main_window.py; experiment_workspace_restorer.py,
K-002,MEDIUM,RESOLVED,Workspace persistence failures are logged/reported instead of silently swallowed.,workflow_manager.py; main_window.py; experiment_workspace_restorer.py,
K-003,MEDIUM,RESOLVED,Policy-binding restore diagnostics preserve exact error/path/checksum context.,workflow_manager.py; main_window.py; experiment_workspace_restorer.py,
K-004,MEDIUM,RESOLVED,Restorer uses named panel/class identities rather than hard-coded page indexes.,workflow_manager.py; main_window.py; experiment_workspace_restorer.py,
L-001,MEDIUM,RESOLVED,Suppressed policy SHA state is scoped to the project/results database.,policy_registry.py; results/database.py; ai/model_io.py; ai/checkpoint_manager.py; docs/API_COMPATIBILITY_V57.md,
L-002,MEDIUM,RESOLVED,Suppression uses SQLite transactional persistence rather than an unlocked global JSON file.,policy_registry.py; results/database.py; ai/model_io.py; ai/checkpoint_manager.py; docs/API_COMPATIBILITY_V57.md,
L-003,MEDIUM,RESOLVED,Delete semantics distinguish actual file existence/removal and preserve suppression to prevent silent rediscovery.,policy_registry.py; results/database.py; ai/model_io.py; ai/checkpoint_manager.py; docs/API_COMPATIBILITY_V57.md,
L-004,MEDIUM,RESOLVED,Malformed/incompatible policy discovery failures are logged with diagnostic context.,policy_registry.py; results/database.py; ai/model_io.py; ai/checkpoint_manager.py; docs/API_COMPATIBILITY_V57.md,
L-005,HIGH TRUST,RESOLVED,Portable deployable policy loading uses safe weights-only semantics; pickle-capable exact resume is trusted-local only and requires local HMAC+SHA authentication.,policy_registry.py; results/database.py; ai/model_io.py; ai/checkpoint_manager.py; docs/API_COMPATIBILITY_V57.md,
L-006,MEDIUM,RESOLVED,Checkpoint APIs explicitly separate portable/deployable model checkpoints from trusted-local exact-resume state.,policy_registry.py; results/database.py; ai/model_io.py; ai/checkpoint_manager.py; docs/API_COMPATIBILITY_V57.md,
M-002,MEDIUM/HIGH,RESOLVED_WITH_FAULT_TESTS,Broker/worker failure paths use bounded waits/error propagation and have forced-failure regression coverage.,broker tests; ai_controller.py; throughput/persistent worker paths,
M-003,MEDIUM,RESOLVED_BY_METRIC_SEPARATION,Evaluator calibration is explicitly labeled evaluator/device-only; CALO runtime reports full end-to-end requested-FE throughput including control/evaluator/learning wall time.,optimizer runtime_profile; GUI calibration wording,
M-004,MEDIUM,RESOLVED_FOR_SILENT_FAILURE_PROVENANCE,Silent broad exception/pass cleanup paths were replaced with structured logging/propagation; regression test forbids broad-exception sole-pass handlers.,v5.7 AST regression test,Some broad handlers with explicit logged fallback logic remain intentionally.
N-001,HIGH,TARGET_ENVIRONMENT_VALIDATION_PENDING,Current v5.7 source freeze/manifest and dependency-light suites are revalidated; PyQt/PYPOWER/Ruff/physical accelerator gates are explicitly not claimed in this build environment.,RELEASE_VALIDATION.md,Must run target-environment CI/scientific/accelerator gates before final publication campaign.
