id,severity,category,title,location,evidence,impact,recommendation
F-001,CRITICAL,Scientific correctness,Weighted empirical CVaR is mathematically incorrect when alpha cuts through a probability mass,calo_rpd_studio/robustness/cvar.py:4-5; accelerated/torch_orpd.py:203-211; accelerated/device_resident_orpd.py:575-584,"For values [0,100], weights [0.96,0.04], alpha=0.95, repository returns 4.0; exact upper-tail CVaR is 80.0. All CPU and accelerator implementations include the entire VaR atom rather than the fractional mass needed to make a 1-alpha tail.","Robust objective values, rankings, and conclusions can be materially wrong for unequal scenario weights or scenario counts whose cumulative mass does not align with alpha. CPU/accelerator parity cannot detect it because the same defect is duplicated.","Implement fractional-tail weighted CVaR from the quantile integral; validate alpha in (0,1), nonnegative finite weights, and positive total weight. Add exact edge-case tests and cross-backend tests with unequal weights."
F-002,CRITICAL,Scientific formulation,Generic 0-5 MVAr shunt controls overwrite case-specific fixed reactors/capacitors,"calo_rpd_studio/orpd/variable_decoder.py:18-24,45-50,62","The same 0..5 MVAr range is assigned to every default shunt bus. In PYPOWER case57 the selected buses start at 10.0, 5.9 and 6.3 MVAr; in case118 selected buses include -40, -25, 6..20 MVAr. Decoding writes the decision directly to BUS.BS, replacing the original value.","The optimized network is not the intended IEEE case and may remove reactors, collapse capacitors, or change base-case feasibility. Cross-case objective values and literature comparisons are not scientifically defensible until each case formulation is explicitly defined.","Create versioned, case-specific ORPD control definitions with absolute versus incremental semantics, engineering bounds, discrete steps, and citations/provenance. Preserve fixed shunts outside the declared controls. Add base/control-vector regression tests per case."
F-003,HIGH,Benchmark formulation,Benchmark decision dimensions are implicit and inconsistent across cases,"calo_rpd_studio/power_system/case_loader.py:8-17; calo_rpd_studio/orpd/variable_decoder.py:18-24,38-50","Default decoded dimensions are case30=14 (6 Vg, 0 taps, 8 shunts), case57=27, case118=77, case300=176 (69 Vg, 107 taps, 0 shunts). Stock PYPOWER data and hard-coded control lists determine the formulation silently.",A paper can label a study IEEE 30/57/118/300 while actually solving a different control-variable problem than the cited literature or another implementation. Case300 is not treated with the same shunt-control policy.,"Export a formulation manifest for every task: case checksum, control buses/branches, bounds, step sizes, initial values, dimension and fixed-device treatment. Require explicit case formulation profiles rather than hidden defaults."
F-004,CRITICAL,Runtime reliability,Persistent XPU sidecar progress callback raises NameError,calo_rpd_studio/compute/persistent_accelerator_sidecar.py:121-143,"Line 131 assigns last_iteration = iteration, but iteration is undefined and last_iteration is not declared nonlocal. Ruff reports F821. The callback is passed into run_single/run_ablation and the outer handler converts the exception to a failed run.","The claimed persistent XPU execution path can fail on its first progress emission, directly breaking the 80/10/10 throughput engine on systems that use the sidecar.","Read iteration from payload, declare nonlocal only if state is needed, and add an end-to-end sidecar protocol test that exercises at least two progress frames and job completion."
F-005,CRITICAL,Publication integrity,Publication statistics include independently verified but infeasible solutions,calo_rpd_studio/results/publication_export.py:16-30; publication_export/verified_runs.csv; publication_export/descriptive_statistics.csv,Exporter filters verified_only but groups every row by algorithm for objective statistics without filtering feasible=True. The shipped export contains one infeasible CALO-without-AI run (violation 0.057979...) and reports objective 2.3665 as publication descriptive evidence.,"Infeasible objective values can be reported as best/mean performance, invalidating rankings and manuscript tables under a feasibility-first ORPD formulation.","Separate verification status from feasibility. Compute objective statistics only on feasible verified runs; export feasibility rate, violation statistics, and no-feasible-run status separately. Refuse best-objective claims when no verified feasible run exists."
F-006,HIGH,Publication integrity,"Article-ready package still derives narrative, tables and figures from all runs when validation is incomplete","calo_rpd_studio/benchmarking/package.py:71-95,113-150,266; visualization/publication_evidence.py:21-25,264-343","Verified evidence is generated, but article_lines uses evidence.interpretations from all runs; downstream tables iterate all-run evidence; figure generation loads database.list_runs without verified_only. A warning file is emitted but artifacts are still produced.","Unverified runs can enter article text, rankings, boxplots and critical-difference graphics while the package is branded article-ready. A warning is insufficient to prevent accidental publication.",Make verified-only the default publication basis. Either abort article-ready export until the intended validation set is complete or label and segregate diagnostic all-run artifacts outside the publication package.
F-007,HIGH,Reproducibility,Requested 31-50 benchmark repetitions are silently reset to 30,calo_rpd_studio/benchmarking/campaign.py:78-109; experiments/experiment_config.py:122-125; portfolio/models.py:84-105,"build_campaign writes config.runs from campaign.runs, then config.validate overwrites it with the default JOURNAL portfolio requirement. Demonstration: requested 35 and 50 both create tasks with 30 runs and 600 jobs instead of 700/1000 for 20 algorithms.","The CLI accepts 30-50 runs but does not execute the requested evidence volume, causing incorrect campaign manifests, statistical power, elapsed-time estimates and publication claims.","Synchronize campaign runs into a CUSTOM/TRANSACTIONS portfolio before validation, or make campaign tasks bypass/override portfolio normalization explicitly. Add tests for 30, 31, 35 and 50."
F-008,HIGH,Independent validation,Reactive-power-limit cross-validation is not independent,calo_rpd_studio/power_system/independent_validator.py:49-64,"When the internal solver performs PV-to-PQ switching, PYPOWER is run on internal.case, which already contains transformed bus types and adjusted generator Q values, with ENFORCE_Q_LIMS=0.","The cross-check can confirm only the final transformed power flow, not whether the internal Q-limit detection, switching sequence and final state were correct from the original case.","Run the independent solver from the original controlled case with its own Q-limit enforcement, then compare convergence, final bus types, clamped generators, voltages, Q outputs and losses."
F-009,HIGH,Configuration validation,Invalid robust-scenario settings are accepted and can silently become deterministic,"calo_rpd_studio/experiments/experiment_config.py:19-29,88-151; experiments/experiment_runner.py:22-32; orpd/problem.py:21-23; accelerated/torch_orpd.py:68-71","ExperimentConfig.validate does not validate scenario mode, count, standard deviations, outage indices, renewable bus or capacity-factor parameters. count=0 is accepted; generators return an empty list; `scenarios or [Scenario(base)]` silently substitutes the deterministic base case.","A user can request robust uncertainty and unknowingly execute a deterministic study, corrupting labels, risk metrics and publication evidence.","Validate scenario settings centrally and reject empty scenario sets. Use `if scenarios is None` rather than truthiness fallback. Persist the generated scenario count, weights and checksum in every run."
F-010,HIGH,Release quality,The complete declared-dependency test suite is not green,tests/gui/test_gui_startup.py; tests/gui/test_guided_workflow.py; RELEASE_VALIDATION.md:16-33,"With PyQt6 and PYPOWER installed, full offscreen pytest reports 123 passed and 7 failed. Failures include stale 14-vs-16 workspace expectations, old page indices, old scroll count and old 50/30/20 defaults. The release record reported 104 passed/25 skipped because key dependencies were absent.",Release validation masked feature-drift regressions and cannot serve as a reliable gate. GUI navigation and workflow changes lack synchronized tests.,"Update tests to the 16-workspace/Portfolio Manager workflow and 80/10/10 defaults, then require zero failures with all mandatory dependencies installed."
F-011,HIGH,Input safety,Batch/CLI problem construction bypasses structural case validation and zero impedance becomes an open circuit,calo_rpd_studio/experiments/experiment_runner.py:33-45; power_system/case_validation.py:9-22; power_system/ybus.py:16-25,"build_problem loads a case and immediately constructs the ORPD problem without validate_case. validate_case only warns for zero reactance. build_ybus sets y=0 for exactly zero complex impedance, electrically deleting an in-service zero-impedance branch.",Malformed custom cases can run silently with changed topology and produce plausible but invalid optimization results.,"Make validation mandatory in CaseLoader/build_problem; reject or explicitly regularize zero-impedance in-service branches; validate finite arrays, status values, limits, connectivity and branch ratings."
F-012,HIGH,Algorithm validation,Nineteen baseline implementations lack formulation-level regression evidence,tests/unit/test_algorithms.py:7-20; tests/unit/test_v3_accelerated_backend.py:31-62; docs/algorithm_sources.md:30-44,"Tests run each method for only 40 evaluations on a sphere function and assert finite output/metadata. There are no operator-equation tests, known seeded trajectories, published reference values, or legacy-vs-tensor equivalence tests per algorithm.",The label canonical is not independently substantiated. A shared dispatcher or operator defect can change a baseline and alter CALO comparisons without test detection.,"For every baseline, add deterministic one-step/operator tests, seeded short trajectory snapshots, boundary/repair tests, budget accounting tests and CPU-vs-tensor parity against the declared source formulation."
