ID,Severity,Status,Finding,v5.6 Resolution
C-001,CRITICAL,RESOLVED,"Multiprocessing synchronization objects created from different context","Event/Array/Value/Queue/Process objects are created from one spawn context in competitive coordinator."
C-002,CRITICAL,RESOLVED,"Parallel exact-resume path passed but not used coherently","Each branch has one authoritative resume path recorded in the branch manifest; exact resume restores that branch path directly."
C-003,CRITICAL,RESOLVED,"Parent cancellation did not signal children","Safe Stop sets shared cancel_event; child branches stop and coordinator commits common safe state."
C-004,HIGH,RESOLVED,"Coordinator stopped when any child exited","Coordinator supervises until all children exit or an explicit fatal failure occurs."
C-005,HIGH,RESOLVED,"Child exit codes/errors not validated","Fatal messages and nonzero exit codes fail the competitive training job before base selection."
C-006,HIGH,RESOLVED,"Merge metadata overstated contributors","No merge exists; session metadata records requested/started/successful/failed branch counts and success requires all branches."
C-007,CRITICAL SCIENTIFIC,RESOLVED,"Independent PPO networks naively weight-averaged","Arithmetic network averaging removed. Independent branches compete; scientifically superior champion is selected."
C-008,CRITICAL,RESOLVED,"Merged policy had no coherent optimizer/RNG/curriculum exact state","No merged trainer state exists. Every branch preserves its own exact optimizer/RNG/curriculum resume checkpoint."
C-009,HIGH,RESOLVED,"Parallel training returned empty history","Coordinator returns branch/status/champion/base-selection history."
C-010,HIGH,RESOLVED,"Parallel path dropped heterogeneous-training semantics","Competitive workers rebuild full HeterogeneousTrainingConfig and invoke heterogeneous trainer when configured."
C-011,HIGH,RESOLVED,"Legacy curriculum conversion off by one","Conversion uses explicit resume format/curriculum encoding metadata; v4.1 one-based stages convert deterministically."
C-012,HIGH,RESOLVED,"Training mutated process-global RNG state","Standalone standard/heterogeneous wrappers restore caller Python/NumPy/Torch/CUDA RNG; competitive branches execute in isolated processes."
C-013,MEDIUM,RESOLVED,"Worker distribution lacked validation/XPU sidecar awareness","Worker counts are validated and XPU sidecar availability participates in scheduling recommendations; unsupported multi-branch sidecar training is blocked."
C-014,MEDIUM,PARTIAL,"Broad exception suppression could hide scientific checkpoint/progress failures","Competitive checkpoint/branch failures propagate and fail closed. Benign cleanup/device-fallback exception handling remains and is not claimed eliminated globally."
D-001,CRITICAL,RESOLVED,"Deployable snapshots mutable","Base/deployable artifacts are immutable unique files; mutable logical alias is separate."
D-002,CRITICAL,RESOLVED,"Immutable terminal metadata pointed to mutable alias","Immutable artifact paths point to unique artifact files; logical Base alias is separately identified."
D-003,CRITICAL,RESOLVED,"Deployable snapshot immediately overwritten","Alias is atomically copied from immutable artifact; immutable artifact is not rewritten."
D-004,CRITICAL,RESOLVED,"Safe Stop overwrote full payload with reduced payload","Safe Stop commits complete exact branch resume state through one trusted resume format; no reduced second overwrite."
D-005,HIGH,RESOLVED,"GUI expected obsolete epoch_* lineage files","v5.6 registers the logical competitive Base/immutable artifact; epoch_* scanning remains compatibility-only for older outputs."
D-006,CRITICAL,RESOLVED,"Continuation could overwrite experiment-referenced policy","Old experiment-bound artifacts remain immutable by SHA; logical Base may point to a newer artifact without changing older bindings."
D-007,HIGH,RESOLVED,"Weights-only fine-tune conflated cumulative epoch with exact continuation","Base-Guided Fork is explicitly fresh optimizer/RNG training; Exact Resume restores full branch state. Fork source exposure and branch phase are distinct provenance."
D-008,HIGH,RESOLVED,"Dispute register stale","v5 dispute register updated to describe competitive branch/no-averaging/immutable state behavior."
D-009,MEDIUM,OPEN,"Qualification interval advisory only","Formal Policy Qualification remains explicitly separate; UI/release documentation does not claim automatic scientific qualification at every interval."
