ID,Severity,Finding,v5.9 Status,Resolution / Scientific Treatment,Evidence
CT-001,CRITICAL/HIGH,Stale recovery could replace a newer authoritative generation,RESOLVED,Recovery now verifies both prior manifest SHA-256 and generation ID before authority-changing commit; stale recovery fails closed and must be handled as a fork/export.,competitive_training.py + v5.9 stale-recovery regression
CT-002,MED/HIGH,Cancellation could mask a fatal branch,RESOLVED,Typed SAFE_STOPPED_DEGRADED status preserves fatal branch diagnostics and forced termination provenance.,competitive_training.py
CT-003,MED/HIGH,Infinite telemetry unbounded on disk,RESOLVED WITH BOUNDED POLICY,"Segmented telemetry with bounded segment retention/size, durable segment manifest, and streaming-oriented finalization replaces one unbounded JSONL stream.",training.py / competitive_training.py
CT-004,MED/HIGH,Device-aware branch scheduling lacked memory admission,RESOLVED/MITIGATED,Branch admission considers estimated per-branch memory and reserve fraction with device concurrency caps and CPU fallback. Physical-device calibration remains a target-hardware gate.,competitive_training.py
POLICY-001,HIGH,PPO training transition semantics differed from deployed CALO,RESOLVED FOR NATIVE v5.9 ABI,"Native v5.9 defines raw global policy action plus explicit environmental interventions; training and runtime share aligned clocks/memory/lane/group/recovery semantics. Seeded 3-transition parity regression matches population, pbest, RNG, epsilon, credits, rewards and executed operators exactly.",policy_schema.py / optimizer.py / training.py / v5.9 parity regression
POLICY-002,HIGH,Forced recovery credited overridden PPO operator,RESOLVED,Executed operator/intervention is recorded separately; forced recovery is credited as actual recovery rather than to the overridden sampled operator.,training.py / optimizer.py
POLICY-003,HIGH,Training/runtime reward definitions differed,RESOLVED,Both paths use shared calculate_reward() coefficients and semantics; seeded transition parity checks reward equality.,reward.py / training.py / optimizer.py
POLICY-004,HIGH,Champion/Base pooled heterogeneous raw objectives; synthetic evidence could promote Base,RESOLVED,Synthetic evidence is Training-Champion screening only. Deployable Base requires exact real-ORPD development evidence; real-case objectives are formulation-specific normalized and final selection is common-bundle/order-independent.,competitive_training.py
POLICY-005,HIGH,Feasible episode meant any feasible population member,RESOLVED,"Metrics separate any_feasible_found_rate, final_best_feasible_rate and final feasible ratio; Base eligibility uses final-best feasibility per real development case.",competitive_training.py
POLICY-006,HIGH,Real policy development did not inherit exact ORPD formulation,RESOLVED,"Deployable evidence loads an exact ExperimentConfig including objective, variables, robust scenarios, PF options and constraint tolerances.",competitive_training.py / formulation_fingerprint.py
