id,status,category,resolution,validation
C02,RESOLVED,Performance,Replaced per-evaluation full case cloning in the ORPD hot loop with a thread-local reusable decode workspace that resets only controlled mutable arrays; scenario application can reuse already-owned cases.,tests/unit/test_v660_remaining_audit.py
C03,RESOLVED,Scientific consistency,ConstraintViolation now carries the configured feasibility tolerance instead of using an independent hard-coded threshold.,tests/unit/test_v660_remaining_audit.py
C05,RESOLVED,Scalability,"Added a pre-allocation dense-Torch bus-count safety ceiling and a sparse CPU-reference fallback for larger cases, preventing uncontrolled O(n^2) dense accelerator allocation.",tests/unit/test_v660_remaining_audit.py
C06,RESOLVED,Numerical safety,"L-index calculation now validates partition dimensions, voltage length, and bus identity/order before indexing.",tests/unit/test_v660_remaining_audit.py
C07,RESOLVED,Memory safety,Dense Newton fallback is bounded by a bus-count ceiling and refuses unsafe O(n^2) allocations with an explicit diagnostic.,tests/unit/test_v660_remaining_audit.py
H03,RESOLVED,Performance,"Vectorized branch-angle constraint mapping/evaluation, including vectorized bus-number lookup, removing the Python branch loop from the hot path.",tests/unit/test_v660_remaining_audit.py
H10,RESOLVED,Reproducibility,Separated persistent RNG streams for historical pretraining and PPO minibatch shuffling; resume checkpoints preserve each stream state independently.,tests/unit/test_v660_remaining_audit.py
H14,RESOLVED,Statistics,Friedman/evidence paths now convert all-tied or non-finite statistical outputs to a finite neutral/non-significant result with explicit status.,tests/unit/test_v660_remaining_audit.py
H16,RESOLVED,Diagnostics,Narrowed accelerator throughput conversion/signature/synchronization exception handling; broad catches remain only at explicit fail-forward request/calibration boundaries where failures are propagated or recorded.,tests/unit/test_v660_remaining_audit.py
H17,RESOLVED,Diagnostics,Resource/device probes now catch explicit expected exception classes and log device/path-specific warnings instead of silently swallowing broad failures.,tests/unit/test_v660_remaining_audit.py
H18,RESOLVED,Diagnostics,Torch ORPD candidate conversion and parity-state handling now use narrow exception classes; unexpected runtime defects propagate instead of being masked.,tests/unit/test_v660_remaining_audit.py
H19,VERIFIED_NOT_DEFECT,Audit correction,"The original finding is factually incorrect: Python except Exception does not catch KeyboardInterrupt or SystemExit. The independent-validation wrapper intentionally records ordinary validation failures explicitly, so no defect fix was required.",tests/unit/test_v660_remaining_audit.py
H20,RESOLVED,Diagnostics,Experiment orchestration cleanup/profile/pool paths now use narrower expected exceptions and explicit warning/error reporting; top-level job wrappers remain structured failure boundaries.,tests/unit/test_v660_remaining_audit.py
H23,RESOLVED,Determinism,Campaign ordering now uses updated_at DESC with deterministic id DESC as a secondary key.,tests/unit/test_v660_remaining_audit.py
H25,RESOLVED,GUI/workspace robustness,Workspace restore now dispatches through semantic workspace keys/pages_by_key rather than brittle widget class-name strings.,tests/unit/test_v660_remaining_audit.py
H26,RESOLVED,Configuration correctness,ExperimentConfig.validate() is read-only; normalization is explicit through normalize_for_execution() and invalid run/evidence combinations raise instead of mutating silently.,tests/unit/test_v660_remaining_audit.py
H27,RESOLVED,Workspace recovery,Missing/unreadable/invalid case restoration now produces structured WorkspaceRestoreError diagnostics with experiment and stage context.,tests/unit/test_v660_remaining_audit.py
M04,RESOLVED,Scientific consistency,Removed the separate feasibility magic-number policy; ranking reads the carried configured tolerance through one canonical feasibility-rule implementation.,tests/unit/test_v660_remaining_audit.py
M05,RESOLVED,Ordering correctness,"better() and sort_key() now use exactly the same deterministic feasibility-first ordering, eliminating inconsistent/non-transitive comparison semantics.",tests/unit/test_v660_remaining_audit.py
M16,RESOLVED,Memory robustness,Policy network and policy broker globals are now bounded LRU caches; evicted broker resources are closed.,tests/unit/test_v660_remaining_audit.py
M34,RESOLVED,Solver fallback robustness,"Sparse Jacobian construction catches the expected SciPy/runtime construction failure classes, logs the fallback, and applies the bounded dense-fallback safety ceiling.",tests/unit/test_v660_remaining_audit.py
M36,RESOLVED,Accelerator efficiency,"Batched Newton now solves only active rows and scatters updates back, removing converged/inactive identity systems from linear solves.",tests/unit/test_v660_remaining_audit.py
M37,RESOLVED,Accelerator throughput,Torch ORPD evaluation flattens compatible candidate x scenario work into cross-scenario batches and deterministically aggregates results back by candidate.,tests/unit/test_v660_remaining_audit.py
M48,RESOLVED,GUI correctness,Removed locals() introspection for deployable_eligible and replaced it with an explicit tri-state variable and deterministic messaging.,tests/unit/test_v660_remaining_audit.py
M52,RESOLVED,Resume/recovery,"Resume Center now dispatches supported experiment, policy-training, validation, and portfolio-export task types; Resume All reports deferred/unsupported work rather than silently ignoring it.",tests/unit/test_v660_remaining_audit.py
M54,RESOLVED,GUI robustness,Results Explorer select_run() safely handles a run disappearing between refresh and selection and returns a failure status instead of raising uncaught KeyError.,tests/unit/test_v660_remaining_audit.py
M57,RESOLVED,Compute protection,"Lazy AdaptiveComputeGovernor construction now receives the configured allocation_limit_fraction, matching the explicit initialization path.",tests/unit/test_v660_remaining_audit.py
L19,RESOLVED,Portfolio robustness,Portfolio manifest loading now catches I/O/Unicode/JSON corruption and raises actionable validation errors; manifest object/artifact structure is checked.,tests/unit/test_v660_remaining_audit.py
L20,RESOLVED,Configuration robustness,"ExperimentConfig.from_dict/load now reject unknown top-level and nested fields by default, exposing misspellings instead of silently discarding them.",tests/unit/test_v660_remaining_audit.py
L23,RESOLVED,Workflow state integrity,Stopping an experiment preserves the existing verified_results count instead of resetting it to zero.,tests/unit/test_v660_remaining_audit.py
V64-N04,RESOLVED,Real-development throughput,Real ORPD policy-development rollout loads ExperimentConfig once and caches immutable source case templates per rollout worker/chunk instead of reloading every episode.,tests/unit/test_v660_remaining_audit.py
V64-N05,RESOLVED,Stage-B memory protection,Synthetic broker splits oversized single requests into deterministic chunks no larger than max_candidates before device allocation and recombines exact-order results.,tests/unit/test_v660_remaining_audit.py
V64-N06,RESOLVED,Stage-B device efficiency,Immutable curriculum/static tensors are cached in a bounded fingerprinted LRU instead of being restacked on every microbatch.,tests/unit/test_v660_remaining_audit.py
