id,severity,status,finding,evidence_or_action
P01,Critical,RESOLVED,Strict experiments require an immutable policy artifact instead of silent policy fallback.,Policy ID/path/SHA/schema binding is stored per experiment; changing the global active policy never mutates an existing experiment binding.
P02,Critical,PARTIAL,Policy training and full CALO runtime are not one bit-identical transition implementation.,"The native 32-feature training environment exposes v4/v5 cognition semantics, but the lightweight PPO rollout environment remains separate. Real-optimizer Policy Qualification is mandatory."
P03,High,RESOLVED,The policy could not observe HPEM/readiness/precision/variable-group state.,The native 32-feature policy schema exposes eight bounded v4.1+ cognition features and is retained unchanged in v5 for checkpoint compatibility.
P04,Critical,RESOLVED,No formal policy qualification gate existed.,"Candidate vs reference vs No-AI paired qualification, qualification history, grades, and immutable SHA provenance are implemented."
P05,High,PARTIAL,Long-running policy evolution needs latest-vs-best checkpoint management.,"v5 policy lineages, cumulative epochs, immutable deployable checkpoints, latest/best-qualified roles, forks, exact resume, and continuation phases are implemented. Qualification scheduling is suggested but not automatically launched at every configured interval."
P06,High,OPEN,The bundled legacy policy has no demonstrated native ORPD superiority.,Legacy/unqualified policies remain labeled honestly. No policy becomes scientifically preferred until recorded paired qualification demonstrates it.
P07,High,OPEN,AI/rule/online-credit authority weights are not established as universally optimal.,Use paired IEEE 30/57 development ablations and freeze before IEEE 118/300 holdout evaluation.
P08,Critical performance,DEFERRED,CALO does not yet use the same fully Torch-native optimizer-control path as Torch baseline optimizers.,"The scientific evaluator is accelerator-native, but a complete CUDA/XPU CALO-control rewrite remains deferred until seeded scientific parity can be proven."
P09,Critical performance,DEFERRED,CALO cognitive/memory control state remains primarily compact NumPy host state.,v5 does not falsely claim full device-resident CALO control; this remains a separate performance/scientific-parity project.
P10,High performance,PARTIAL,Per-learner candidate decisions still include Python-level logic.,Bounded tensor-shaped memories and reused 3D scratch reduce overhead while preserving seeded behavior; grouped device kernels remain future work.
P11,High performance,OPEN,CUDA policy inference still materializes small action arrays on the host for NumPy CALO control.,Elimination depends on the future device-resident CALO control path.
P12,High diagnostic,RESOLVED,Evaluator warm-up could be mistaken for end-to-end CALO throughput.,"Evaluator calibration is labeled explicitly; CALO metadata records policy, control/candidate, evaluator, and learning-update timings separately."
P13,Medium,RESOLVED,Persistent exact-evaluation caching could cost more than it saves at low hit rates.,Within-batch exact dedup remains; persistent cross-batch cache auto-disables after measured low reuse while FE accounting is unchanged.
P14,Medium-high,PARTIAL,HPEM/context/success-memory operations still include small host-side loops.,Bounded memories keep cost controlled; further device kernels require parity-qualified implementation.
P15,Medium,OPEN,Cross-run policy broker can add latency for an isolated single CALO run.,Retain it for multi-run batching; add a direct fast path only after end-to-end profiling shows a reproducible benefit.
R01,Critical reproducibility,RESOLVED,Workflow/setup state was not restored when reopening experiments.,"ExperimentWorkspaceRestorer restores authoritative config, workflow access, policy binding, intelligence selections, historical plots, and lightweight view state."
R02,Critical reproducibility,RESOLVED,Old FE-horizon evidence could be overwritten or silently mixed after extensions.,"Run-horizon snapshots, revision records, horizon-aware statistics/results/export, validation-at-horizon records, and revision-specific export folders preserve evidence boundaries."
R03,Medium,PARTIAL,A crash can lose live telemetry after the last committed optimizer checkpoint.,"CALO exact run checkpoints preserve optimization state for continuation, but every transient/downsampled GUI telemetry point between checkpoints is not guaranteed to survive a hard crash."
C01,Critical,RESOLVED,Policy training could not continue safely across sessions or completed targets.,"Exact resume retains model, optimizer, RNG, curriculum/history and blocks scientific hyperparameter drift; cumulative, additional, and indefinite modes are supported."
C02,High,RESOLVED,More policy epochs could destructively replace a better earlier policy.,Immutable lineage checkpoints keep latest and best-qualified roles separate; experiments remain bound to their original checkpoint SHA.
C03,Critical,PARTIAL,Exact same-trajectory FE-horizon continuation is not available for every optimizer.,"CALO has full exact optimizer-state continuation. For multi-algorithm publication comparisons, v5 provides paired recompute-from-original-seed at the new horizon; unsupported baselines are never mislabeled as exact continuation."
C04,Critical scientific,RESOLVED,Post-hoc extension of only good-looking runs could bias primary statistics.,All-paired and predeclared deterministic-subset protocols are publication-eligible; manual/post-hoc selection is explicitly exploratory and excluded from unbiased primary claims.
C05,High,RESOLVED,A later longer exploratory branch could redefine or destroy the primary comparison horizon.,Primary completed publication-eligible revisions are tracked independently of exploratory branches; later paired revisions can branch from the correct primary/source horizon.
C06,High,RESOLVED,Exact continuation always resumed whichever branch happened to be current.,v5 records/selects an explicit source FE horizon and resolves the checkpoint belonging to that preserved run segment; revision-scoped output paths prevent checkpoint overwrite.
C07,High scientific,RESOLVED,A segmented 5k→10k continuation could be incorrectly presented as identical to a run planned for 10k from FE=0.,Trajectory semantics are recorded explicitly. Exact continuation is labeled segmented; recompute-from-seed is the publication-safe from-start higher-horizon trajectory for paired comparisons.
C08,Medium,OPEN,Configured policy qualification intervals do not automatically execute expensive qualification campaigns during training.,"The interval is currently advisory. Automatic asynchronous qualification/promotion requires a separately budgeted, non-training validation scheduler to avoid leakage and resource contention."
